Gene ID	'10 day' vs '7 day' in 'wild type' .foldChange	'12 day' vs '7 day' in 'wild type' .foldChange	'13 day' vs '7 day' in 'wild type' .foldChange	'15 day' vs '7 day' in 'wild type' .foldChange	'8 day' vs '7 day' in 'wild type' .foldChange	'val1 mutant' vs 'wild type' at '10 days after pollination' .foldChange	'val1 mutant' vs 'wild type' at '13 days after pollination' .foldChange	'val1 mutant' vs 'wild type' at '15 days after pollination' .foldChange	'val1 mutant' vs 'wild type' at '7 days after pollination' .foldChange	'val1 mutant' vs 'wild type' at '8 days after pollination' .foldChange
AT3G21760	1.5	1.6	1.5	NA	1.3	NA		2.3		
AT3G21790	-2.6	NA	NA	NA	NA	NA				
AT3G21800	1.8	1.5	NA	NA	NA	NA	1.1	1.8		
AT3G21820	NA	NA	NA	-1.5	NA	NA				
AT3G21840	NA	NA	NA	-4.6	NA	NA				
AT3G21850	NA	-5.2	-5.5	-5.6	NA	NA				
AT3G21865	NA	NA	NA	1.7	NA	NA				
AT3G21890	2.1	1.8	NA	-3.8	NA	NA				
AT3G22060	-3.8	-4.7	-6.7	-5.7	NA	NA				
AT3G22070	1.6	1.6	1.3	NA	NA	NA				
AT3G22072	2	1.9	2	NA	NA	NA				
AT3G22104	1.5	2.3	2.5	NA	NA	NA				
AT3G22120	6.8	8	8.1	8.1	3.4	NA				
AT3G22121	5.7	7.7	8	8.3	NA	NA				
AT3G22142	5.5	6.3	5.4	NA	NA	NA				
AT3G22150	-1.3	NA	NA	NA	NA	NA				
AT3G22180	NA	NA	NA	-1.3	NA	NA				
AT3G22190	NA	NA	-1.8	-3.3	NA	NA				
AT3G22200	NA	NA	-1.2	NA	NA	NA				
AT3G22210	-2.2	-4.5	-5.8	-5.8	NA	NA				
AT3G22220	-1.1	NA	NA	NA	NA	NA				
AT3G22230	-2.3	-2.3	-2.3	-2.4	NA	NA				
AT3G22235	3.8	4.8	4	1.7	1.9	NA	1.5			
AT3G22240	3.4	4.4	4.2	3.2	2	NA				
AT3G22260	NA	1.4	1.6	2.7	NA	NA				
AT3G22290	NA	NA	NA	1.3	NA	NA				
AT3G22300	-1.2	-1.2	-1.1	-1.1	NA	NA				
AT3G22310	-3	-2.5	-2.3	-1.3	NA	NA				
AT3G22330	-1.4	NA	NA	NA	NA	NA				
AT3G22380	1.2	1.7	1.7	1.4	NA	NA				
AT3G22410	NA	-1.7	-2.5	-3.8	NA	NA				
AT3G22420	2.2	1.9	1.4	NA	NA	NA				
AT3G22425	NA	NA	NA	-1.4	NA	NA				
AT3G22450	-1.4	-1.3	NA	NA	NA	NA				
AT3G22460	NA	NA	NA	NA	NA	1.9				
AT3G22490	NA	NA	7.4	14.9	NA	NA				
AT3G22492	NA	NA	NA	8.2	NA	NA				
AT3G22500	NA	NA	7.8	15.2	NA	NA				
AT3G22510	-1.6	-2.7	-2.7	NA	NA	NA				
AT3G22530	-1.4	-1.2	NA	NA	NA	NA				
AT3G22540	-5.6	-6.6	-6.7	-7.8	-1.5	NA				
AT3G22550	NA	NA	-1.5	-5.5	NA	NA		1.2		
AT3G22560	NA	NA	NA	3.8	NA	NA				
AT3G22600	3.6	3.2	NA	NA	NA	NA				
AT3G22620	5	3.7	NA	NA	NA	NA				
AT3G22630	NA	NA	-1.1	NA	NA	NA				
AT3G22640	9	9.6	9.7	10.2	4.4	NA				
AT3G22650	NA	NA	NA	NA	NA	1.8	1.5			
AT3G22660	-2	-1.6	-1.1	NA	NA	NA				
AT3G22740	NA	5.4	9.1	13.9	NA	NA				
AT3G22750	4.1	5.9	6.5	6.4	NA	NA				
AT3G22760	1.6	NA	-1.2	-4.2	NA	NA				
AT3G22780	NA	NA	-1.2	-2.1	NA	NA				
AT3G22790	NA	NA	-1.3	-3.9	NA	NA		1.2		
AT3G22800	3.6	5	4.8	4.6	NA	NA				
AT3G22830	3.5	4.5	3.8	NA	NA	NA				
AT3G22840	2.2	5.6	5.7	5.2	NA	NA				
AT3G22845	NA	1.1	NA	NA	NA	NA				
AT3G22850	2.6	3.2	2.3	1.1	NA	-2.3	-1.5	-1.8		
AT3G22880	-1.2	-2.3	-2.5	-2.8	NA	NA				
AT3G22886	2.2	2.2	1.9	NA	NA	NA				
AT3G22890	NA	NA	1.4	2.4	NA	NA		-1.3		
AT3G22930	NA	-1.1	-3.2	-5.2	NA	NA				
AT3G22942	-1.1	NA	NA	NA	NA	NA				
AT3G22960	NA	NA	NA	-1.8	NA	NA				
AT3G22961	1.4	1.9	NA	NA	NA	NA				
AT3G22980	NA	NA	NA	1.1	NA	NA				
AT3G23000	NA	-1.1	-1.7	-3.5	NA	NA	1.1			
AT3G23020	-2.4	-1.5	NA	NA	NA	NA				
AT3G23030	NA	NA	2.5	4.1	NA	NA	-2.1	-1.2		
AT3G23050	4.7	4.4	3.7	NA	1.2	NA		1.8		
AT3G23070	-1.2	NA	NA	NA	NA	NA				
AT3G23080	NA	-1.9	-1.8	NA	NA	NA				
AT3G23090	6.4	7.4	7.5	7	1.5	NA				
AT3G23100	NA	NA	NA	NA	NA	-1.7	-1.5	-1.6	-1.6	-1.6
AT3G23150	NA	NA	1.7	1.9	NA	NA	-1.2			
AT3G23165	-4.4	-4.9	-5.1	-5.2	NA	NA				
AT3G23167	-3.5	-2.6	-2	-3	NA	NA				
AT3G23170	1.5	2.6	2.7	2.4	NA	NA				
AT3G23175	6.4	6.8	7.9	9	NA	NA				
AT3G23180	6.6	9.7	11.2	12.8	NA	NA				
AT3G23200	NA	1.2	1.5	1.1	NA	NA				
AT3G23240	NA	NA	NA	5.8	NA	NA				
AT3G23250	NA	6.5	6.3	6.3	NA	NA	-1.3			
AT3G23260	NA	1.4	1.8	2.2	NA	NA				
AT3G23280	1.9	2.2	2	1.3	NA	NA				
AT3G23290	-1.5	-2.3	-3.2	-5.5	NA	NA				
AT3G23300	1.1	1.4	1.4	1.3	NA	NA				
AT3G23340	3.1	4.4	5.4	6.1	NA	NA				
AT3G23360	-3.3	-4.2	-4.5	-4.6	NA	NA				
AT3G23370	-2.2	-1.5	-1.2	-1.3	NA	1.2				
AT3G23390	-1.9	-2.2	-2.2	-3.6	NA	NA				
AT3G23400	1.3	1.8	2	1.9	NA	NA				
AT3G23410	NA	NA	-2.9	-4.2	NA	NA	1.3			
AT3G23440	NA	NA	1.4	2.5	NA	NA				
AT3G23450	-3.5	-4.1	-6	-7.5	NA	NA				
AT3G23460	NA	2.4	NA	NA	NA	NA	1.2			
AT3G23470	3.7	3.7	1.7	-4.3	1.6	NA	1.3	1.9		
AT3G23480	2.6	3	4.9	6.4	NA	NA				
AT3G23490	NA	NA	1.2	2.2	NA	NA				
AT3G23530	-3.9	-4.2	-4.4	-4.4	NA	NA				
AT3G23540	NA	1.4	1.8	2.2	NA	NA				
AT3G23550	NA	NA	NA	2.6	NA	NA				
AT3G23560	2.7	4.3	5.3	5.7	NA	NA	-1.3			
AT3G23570	5.7	5.4	5.2	5.8	2.4	NA				
AT3G23600	NA	-1.3	NA	NA	NA	NA				
AT3G23605	NA	NA	NA	2.3	NA	NA				
AT3G23610	1.5	1.7	1.7	1.7	NA	NA				
AT3G23620	-1.9	-1.6	-1.2	-1.2	NA	NA				
AT3G23640	1.4	1.2	1.2	NA	NA	NA				
AT3G23660	NA	NA	NA	-1.6	NA	NA				
AT3G23670	-2.8	-4.4	-4.5	-5.5	NA	NA				
AT3G23700	-2.2	-3.1	-3.4	-5	NA	NA				
AT3G23710	-2	-1.9	-1.7	-1.2	NA	NA				
AT3G23730	NA	NA	NA	-1.9	NA	NA				
AT3G23740	-2.9	-5.6	-7.2	-7.9	NA	NA				
AT3G23760	NA	NA	-1.1	-5.6	NA	NA		1.5		
AT3G23780	NA	NA	-1.5	-3.4	NA	NA	1.4	2		
AT3G23790	NA	NA	2.2	3.6	NA	NA				
AT3G23805	NA	NA	NA	-2.5	NA	NA				
AT3G23810	-1.9	NA	-3	-5.8	NA	NA				
AT3G23830	-2.7	-2.4	-2.5	-3.6	-1.6	NA				
AT3G23870	NA	2.7	3.8	NA	NA	NA		1.6		
AT3G23890	-2.9	-5.5	-7.3	-9.7	NA	NA	1.3			
AT3G23910	-1.3	-1.1	NA	NA	NA	NA				
AT3G23920	NA	1.9	2.3	3.4	NA	NA				
AT3G23930	2.5	4.7	4.3	4.4	NA	NA				
AT3G23940	-1.7	-1.7	-1.4	-1.2	NA	NA				
AT3G23980	1.1	1.4	1.7	1.4	NA	NA				
AT3G23990	-3	-3	-2.5	-1.8	NA	NA				
AT3G24000	-1.7	-1.3	NA	NA	NA	NA				
AT3G24005	-4.4	-5.2	-5.5	-5.5	NA	NA				
AT3G24030	NA	NA	-1.2	NA	NA	NA				
AT3G24040	NA	NA	NA	-3.1	NA	NA		1.1		
AT3G24050	NA	NA	NA	-2.1	NA	NA				
AT3G24068	-4.1	-4.5	-4.7	-4.8	NA	NA				
AT3G24070	NA	NA	NA	2.1	NA	NA				
AT3G24090	-2.4	-1.9	NA	NA	NA	NA				
AT3G24140	3.1	NA	3.6	NA	NA	NA				
AT3G24150	NA	NA	1.4	2	NA	NA				
AT3G24160	NA	NA	NA	1.2	NA	NA				
AT3G24170	NA	1.1	1.2	NA	NA	NA				
AT3G24180	1.4	2.1	3	3.6	NA	NA				
AT3G24190	1.3	1.9	1.9	2	NA	NA				
AT3G24200	NA	NA	1.3	1.7	NA	NA				
AT3G24210	NA	3.6	5.2	7	NA	NA	-1.9			
AT3G24220	NA	NA	NA	3.6	NA	NA				
AT3G24225	-2.7	-5.1	-4.6	-7.5	NA	NA				
AT3G24240	NA	NA	NA	-3.6	NA	NA		1.3		
AT3G24250	-7.6	-9.9	-13.1	-10.6	-1.3	NA	1.6			
AT3G24280	-2.9	NA	NA	NA	NA	NA				
AT3G24315	NA	1.2	1.2	1.2	NA	NA				
AT3G24320	-2.1	-2.3	-2.3	-2.1	NA	NA				
AT3G24340	-1.4	-3	-4	-5.2	NA	NA				
AT3G24360	-2.4	-3.7	-4.9	-5.3	NA	NA				
AT3G24420	-2.5	-4.4	-6.9	-5.4	NA	NA	1.9			
AT3G24430	-1.2	-1.8	-1.8	-2.8	NA	NA				
AT3G24440	NA	NA	NA	-1.6	NA	NA				
AT3G24450	-1.1	-1.4	-1.8	-4.3	NA	NA				
AT3G24480	NA	NA	-1.2	-3.7	NA	NA				
AT3G24495	-2.5	-3.1	-3.8	-5.3	NA	NA				
AT3G24500	-1.3	NA	NA	1.8	NA	NA				
AT3G24503	NA	1.4	2.1	3	NA	NA				
AT3G24506	NA	-1.5	-1.6	-1.4	NA	NA				
AT3G24515	-1.5	-2.8	-3.1	-4.3	NA	NA				
AT3G24520	NA	NA	3.2	6.4	NA	NA				
AT3G24560	NA	-1.5	-1.1	NA	NA	NA		-1.1		
AT3G24570	-1.2	-1.6	-1.5	-1.6	NA	NA				
AT3G24590	-1.3	-1.7	-1.3	NA	NA	NA				
AT3G24600	-3.6	-6.5	-5.6	-5.2	NA	NA				
AT3G24610	-3.5	-3.7	-4	-4	NA	NA				
AT3G24630	1.1	1.1	1.3	1.1	NA	NA				
AT3G24650	NA	1.5	1.8	1.8	NA	NA				
AT3G24660	NA	NA	-1.1	-3	NA	NA				
AT3G24670	2.1	2.3	2	1.5	NA	NA				
AT3G24730	NA	NA	1.4	1.8	NA	NA				
AT3G24740	1.5	2.1	2.6	2.8	NA	NA				
AT3G24750	6.6	8.6	8.9	9.8	NA	NA				
AT3G24760	NA	1.1	NA	NA	NA	NA				
AT3G24770	1.4	1.5	NA	-3.8	NA	NA	1.5	3.1		
AT3G24800	NA	NA	1.2	1.8	NA	NA				
AT3G24810	-1.1	NA	NA	NA	NA	NA				
AT3G24820	NA	NA	NA	1.1	NA	NA				
AT3G24830	-1.9	-2.2	-2.3	-3.4	NA	NA				
AT3G24840	NA	1.2	1.2	NA	NA	NA				
AT3G24870	NA	NA	NA	1.3	NA	NA				
AT3G24880	NA	NA	1.1	1.2	NA	NA				
AT3G24927	3.3	4.6	5.1	5.4	NA	NA				
AT3G24929	NA	NA	1.3	NA	NA	NA				
AT3G24982	NA	1.3	1.4	NA	NA	NA				
AT3G25011	2.5	3.7	3.6	NA	NA	NA				
AT3G25030	NA	NA	NA	-3	NA	NA				
AT3G25040	NA	NA	NA	-1.5	NA	NA				
AT3G25060	-2.1	NA	NA	NA	NA	NA				
AT3G25100	-3	-6.7	-7.5	-6.4	NA	NA				
AT3G25110	NA	NA	NA	-1.6	NA	NA				
AT3G25130	NA	-2.7	-4	-6	NA	NA				
AT3G25150	NA	NA	-1.6	-2.2	NA	NA				
AT3G25160	6.4	6.3	5.5	4	3.4	NA				
AT3G25165	-3.3	-3.4	-2.7	-4.6	NA	NA				
AT3G25170	-2.6	-2.3	-3.2	-4	NA	NA				
AT3G25190	-3	NA	-3.5	NA	NA	NA				
AT3G25220	NA	NA	-1.5	-1.4	NA	NA				
AT3G25230	-1.2	-1.3	NA	NA	NA	NA				
AT3G25250	NA	NA	NA	-4.1	NA	NA				
AT3G25260	-2.6	NA	-2.6	-4.5	NA	NA				
AT3G25270	NA	NA	5.5	7.6	NA	NA	-1.6	-1.2		
AT3G25280	NA	-5	-7.1	-7.1	1.4	2.1	1.8			
AT3G25290	2.1	2.4	1.4	NA	NA	NA				
AT3G25400	-1.3	-2.6	-3.1	-4.4	NA	NA				
AT3G25410	NA	NA	NA	-1.3	NA	NA				
AT3G25470	NA	-1.1	-1.1	NA	NA	NA				
AT3G25480	-1.5	-1.7	-1.3	-1.4	NA	NA				
AT3G25495	2.4	3.2	4.3	4.7	NA	NA				
AT3G25500	2.1	2	NA	-3.3	NA	NA		1.4		
AT3G25520	-1.6	-2	-1.9	-2.8	NA	NA				
AT3G25530	NA	-1.3	-2.5	-4.8	NA	NA				
AT3G25540	NA	NA	NA	-1.3	NA	NA				
AT3G25560	2.6	3.3	2.9	NA	NA	NA				
AT3G25580	NA	-1.2	-1.5	-2.5	NA	NA				
AT3G25590	NA	NA	NA	-2.8	NA	NA				
AT3G25597	2.7	3.4	3.6	NA	NA	NA		1.7		
AT3G25600	NA	2.2	2.2	NA	NA	NA		1.5		
AT3G25640	-1.8	-2.8	-4.9	-5.5	NA	NA				
AT3G25660	-1.7	-2	-1.9	-2.4	NA	NA				
AT3G25670	-4.5	-4.9	-6.2	-8.5	-1.3	NA				
AT3G25690	NA	-1.6	-1.9	-3.6	NA	NA				
AT3G25700	1.6	1.3	NA	NA	NA	NA				
AT3G25740	NA	NA	1.4	2.1	NA	NA				
AT3G25750	-4.2	-4.5	-4.8	-4.8	-1.2	NA				
AT3G25770	4.8	4.4	5.9	8.8	NA	NA		-1.5		
AT3G25780	NA	NA	2.2	4	NA	NA	-1.9	-1.4		
AT3G25810	NA	8.6	10.6	12.2	NA	1.6				
AT3G25820	NA	NA	3.9	5.8	NA	NA	1.2	1.3		
AT3G25840	NA	1.2	1.4	1.6	NA	NA				
AT3G25860	NA	-1.6	-2.5	-5.1	NA	NA				
AT3G25870	NA	2.4	3.3	4.7	NA	NA				
AT3G25880	NA	NA	NA	-1.7	NA	NA				
AT3G25882	NA	2.3	2.6	2.5	NA	NA				
AT3G25890	NA	1.3	1.6	NA	NA	NA				
AT3G25900	-2.8	-1.8	-1.3	-1.1	NA	NA				
AT3G25905	-1.4	-1.8	-2.9	-8.4	NA	NA	1.6	1.5		
AT3G25910	NA	NA	NA	1.3	NA	NA				
AT3G25920	-2.3	-4.1	-4.3	-4.6	NA	NA				
AT3G25940	-1.2	NA	NA	NA	NA	NA				
AT3G25970	-1.8	-2	-1.4	NA	NA	NA				
AT3G25980	-2.8	-4.7	-7	-8.7	NA	NA	1.4			
AT3G26000	NA	1.1	1.4	1.9	NA	NA				
AT3G26030	NA	NA	NA	NA	NA	NA		-1.6		
AT3G26050	-2.4	-4.6	-5.1	-4.7	NA	NA				
AT3G26060	NA	NA	-1.3	-3.3	NA	NA				
AT3G26080	NA	1.3	1.7	1.5	NA	NA				
AT3G26085	NA	NA	NA	1.5	NA	NA				
AT3G26100	2.9	3.3	3.6	3	NA	NA				
AT3G26110	-1.4	-1.7	-2.4	-3.5	NA	NA				
AT3G26120	NA	NA	NA	-1.8	NA	NA		2.5		
AT3G26134	1.6	1.6	1.6	NA	NA	NA				
AT3G26140	-3.9	-3	NA	-5.2	NA	NA				
AT3G26240	1.5	1.6	NA	NA	NA	NA	1.6	1.5	1.1	1.1
AT3G26290	6.5	6.8	6.2	5.8	3.1	NA				
AT3G26295	NA	NA	NA	6.6	NA	NA				
AT3G26300	3.1	4.6	4.9	5	NA	NA				
AT3G26310	4.3	4.4	3	NA	1.3	NA				
AT3G26330	4.7	6.3	7	7.9	1.3	NA				
AT3G26340	-1.3	-1.4	NA	NA	NA	NA				
AT3G26350	NA	NA	1.7	1.7	NA	NA				
AT3G26380	2	2.6	2.8	3.1	NA	NA				
AT3G26410	-2	-1.8	-1.1	NA	NA	NA				
AT3G26430	NA	NA	NA	1.1	NA	NA				
AT3G26440	2.9	4.7	2.9	NA	NA	NA				
AT3G26445	NA	NA	-1.8	-2.9	NA	NA				
AT3G26450	-2.3	-4.8	-4.6	-7.7	NA	NA				
AT3G26460	NA	NA	-3.4	NA	NA	NA				1.1
AT3G26470	NA	NA	1.3	2.7	NA	NA				
AT3G26480	1.2	NA	1.3	2.3	NA	NA				
AT3G26510	NA	NA	-1.6	1.9	NA	NA				
AT3G26520	NA	-3.3	-4.3	-3.5	1.7	NA				
AT3G26570	NA	NA	-1.9	-3.2	NA	NA				
AT3G26580	1.4	1.9	2.8	4.2	NA	NA				
AT3G26590	NA	-3.6	-3.9	-3.9	NA	NA				
AT3G26600	NA	1.1	1.4	1.8	NA	NA				
AT3G26612	NA	1.1	1.2	NA	NA	NA				
AT3G26650	NA	-1.4	-2.6	-5.8	NA	NA				
AT3G26680	-1.2	NA	NA	NA	NA	NA				
AT3G26700	1.1	NA	NA	-1.2	NA	NA				
AT3G26710	NA	-1.2	-1.4	-2.2	NA	NA				
AT3G26730	NA	1.3	1.7	2.3	NA	NA				
AT3G26740	NA	NA	-4.7	-4.8	2.2	NA				
AT3G26742	4.2	3.9	2.4	NA	1.2	NA	1.3	1.2		
AT3G26744	NA	NA	NA	-1.3	NA	NA				
AT3G26750	NA	NA	NA	-1.1	NA	NA				
AT3G26760	NA	-2.5	-3.8	-8.1	NA	NA	1.8	1.4		
AT3G26770	4.6	6.1	6.9	8.6	NA	NA	-1.4	-1.3		
AT3G26780	-1.3	-1.5	-1.4	-1.1	NA	NA				
AT3G26782	-1.8	NA	NA	NA	NA	NA				
AT3G26790	1.2	NA	NA	NA	NA	NA				
AT3G26840	-2.4	NA	-3.3	-3.9	NA	NA				
AT3G26860	-1.9	NA	-2.7	-4.8	NA	NA				
AT3G26890	1.4	1.5	1.9	2.3	NA	NA				
AT3G26900	NA	-1.6	-1.3	-1.7	NA	NA				
AT3G26910	NA	NA	NA	1.4	NA	NA				
AT3G26922	NA	NA	NA	NA	NA	NA		-1.2		
AT3G26934	-2.6	-4.1	-3.6	-4.5	NA	NA				
AT3G26950	NA	NA	1.7	2.7	NA	NA				
AT3G26960	6.1	4.9	NA	NA	NA	NA				
AT3G26980	NA	NA	1.5	1.3	NA	NA				
AT3G27020	NA	1.3	1.4	1.6	NA	NA				
AT3G27025	NA	1.7	2.4	2.3	NA	NA				
AT3G27030	NA	1.6	2.1	2.3	NA	NA				
AT3G27050	NA	-1.1	-1.4	-2	NA	NA				
AT3G27060	-3.5	-5.5	-6.2	-5.7	NA	NA	1.8			
AT3G27080	-1.3	-1.6	-1.5	NA	NA	NA				
AT3G27090	NA	NA	NA	-2	NA	NA				
AT3G27110	1.3	2.4	3.4	4.4	NA	NA				
AT3G27120	-2.1	-1.6	NA	NA	NA	NA				
AT3G27130	-2.2	NA	NA	NA	NA	NA				
AT3G27150	-1.9	-1.9	-2.4	-3.7	NA	NA				
AT3G27160	-3.3	-4.5	-4.9	-4.5	NA	NA				
AT3G27180	-2.2	-1.9	-1.3	-1.9	NA	NA				
AT3G27190	NA	NA	NA	-1.3	NA	NA				
AT3G27200	NA	3.7	NA	NA	NA	NA				
AT3G27210	NA	1.6	2.2	1.5	NA	NA				
AT3G27220	NA	1.4	1.1	NA	NA	NA				
AT3G27230	NA	NA	NA	-2.1	NA	NA		1.1		
AT3G27240	-1.3	-1.3	-1.5	-1.3	NA	NA				
AT3G27250	NA	NA	-3.6	NA	NA	NA				
AT3G27260	1.3	1.6	1.5	1.3	NA	NA				
AT3G27270	NA	NA	NA	NA	NA	NA		-1.3		
AT3G27280	-3.4	-3.2	-2.6	-1.2	-1.1	NA				
AT3G27290	1.4	1.9	2.3	2.8	NA	NA				
AT3G27300	1.2	1.7	1.8	2.1	NA	NA				
AT3G27321	NA	NA	NA	-4.3	NA	NA				
AT3G27330	-2.9	-3.4	-2.3	NA	NA	NA				
AT3G27360	-3.3	-4.1	-3.7	-1.1	NA	NA				
AT3G27380	NA	NA	NA	-1.6	NA	NA				
AT3G27415	NA	NA	NA	-3.7	NA	NA	1.3			
AT3G27420	NA	1.1	1.1	NA	NA	NA				
AT3G27440	3.4	7.3	8.9	10	NA	NA				
AT3G27473	NA	2.3	2.6	NA	NA	NA		1.3		
AT3G27480	NA	NA	NA	NA	NA	NA	2			
AT3G27500	NA	NA	NA	-2.8	NA	NA				
AT3G27520	-2.2	-2.6	-2.8	-1.3	NA	NA				
AT3G27540	NA	1.3	1.7	2.2	NA	NA				
AT3G27550	-1.9	-2.1	-1.3	NA	NA	NA				
AT3G27560	1.1	1.6	1.9	2.1	NA	NA				
AT3G27580	2.1	2.6	3.2	3.6	NA	NA				
AT3G27590	NA	NA	NA	5.7	NA	NA				
AT3G27610	1.6	1.7	1.8	1.6	NA	NA				
AT3G27630	-2.1	-2.2	-2.1	-2.8	NA	NA				
AT3G27640	-3.8	-7.4	-9.4	-9.4	NA	NA				
AT3G27660	5.1	6.5	6.7	7.2	1.9	NA				
AT3G27670	-1.4	NA	NA	NA	NA	NA				
AT3G27690	-2.4	-6.4	-8.3	-8	NA	NA				
AT3G27700	NA	NA	NA	1.1	NA	NA				
AT3G27720	-3	-3.2	-3.5	NA	NA	NA				
AT3G27730	-3.1	-3.9	-2.9	-4	NA	NA				
AT3G27740	-1.2	-1.3	-1.4	-2	NA	NA				
AT3G27750	-2.2	-2.9	-3.1	-2.7	NA	NA				
AT3G27770	1.1	2	2.9	3.5	NA	NA				
AT3G27785	-2.6	-2.7	-3.5	-6.1	NA	NA				
AT3G27830	-2.7	-4.5	-5.5	-5.4	NA	NA				
AT3G27831	-3.2	-3.7	-4.7	-3.9	NA	NA				
AT3G27835	-7.3	-7.8	-8.1	-8.1	-1.9	NA				
AT3G27850	-2.5	-4.1	-4.5	-4.4	NA	NA				
AT3G27860	-2.9	-4.7	-4.1	-4.4	NA	NA				
AT3G27870	1.2	1.2	2.1	3.4	NA	NA	-1.1			
AT3G27890	NA	NA	NA	-1.1	NA	NA				
AT3G27906	NA	NA	-1.4	-3	NA	NA				
AT3G27960	2.6	2.9	3.1	2.7	NA	NA				
AT3G27980	1.8	1.8	2.2	2.4	NA	NA				
AT3G27990	NA	NA	NA	1.4	NA	NA				
AT3G27997	NA	1.2	1.3	2.4	NA	NA				
AT3G28030	1.4	1.7	1.9	2	NA	NA				
AT3G28040	1.6	NA	NA	-7.1	NA	NA				
AT3G28050	NA	NA	NA	-1.6	NA	NA				
AT3G28070	-1.7	-3.5	-4.4	-5.2	NA	NA				
AT3G28100	NA	NA	NA	4	NA	NA				
AT3G28130	-1.5	-4.1	-4.2	-5.6	NA	NA				
AT3G28140	-2.1	-2.4	-2.5	-1.8	NA	NA				
AT3G28150	3.6	3.8	3.7	2.1	1.8	NA		1.2		
AT3G28153	2.4	4.4	5.3	6.2	NA	1.1				
AT3G28155	NA	3	3.3	4.3	NA	2.2	1.3			
AT3G28160	2.2	2.1	1.5	1.1	NA	NA		-1.1		
AT3G28170	NA	3.6	3.3	3.3	NA	NA				
AT3G28180	4.4	2.9	NA	NA	NA	NA				
AT3G28200	2	2.3	1.4	-1.9	NA	NA		1.5		
AT3G28210	NA	NA	NA	5.8	NA	NA				
AT3G28220	6.7	8.6	7.8	6	1.8	1.2	1.1	1.3		
AT3G28340	-3.1	-2	NA	-4.8	NA	NA				
AT3G28350	NA	NA	NA	-3.3	NA	NA				
AT3G28360	2.7	3.7	3.2	NA	NA	1.4	2.3	2.4		
AT3G28415	1.3	1.6	1.6	-1.7	NA	NA	1.3	2.6		
AT3G28420	NA	-1.6	-2.2	-4.5	NA	NA				
AT3G28430	NA	1.1	1.3	1.5	NA	NA				
AT3G28450	NA	NA	1.2	NA	NA	NA				
AT3G28455	NA	-1.4	-2.2	-3.6	NA	NA				
AT3G28460	-1.4	-1.7	-2	-1.9	NA	NA				
AT3G28500	-3.4	-2.8	-3.4	-7.2	-1.2	NA	1.3			
AT3G28540	-3.7	NA	-3.6	-4.3	NA	NA				
AT3G28560	NA	NA	-4.3	-4.3	NA	NA				
AT3G28610	NA	NA	NA	NA	NA	NA	1.5			
AT3G28611	NA	NA	NA	NA	NA	NA	1.2			
AT3G28660	-1.3	NA	NA	1.1	NA	NA				
AT3G28690	1.2	1.5	1.6	1.6	NA	NA				
AT3G28740	NA	NA	NA	5	NA	NA				
AT3G28750	-2.3	-2.6	-3	-4.6	NA	NA				
AT3G28780	NA	-3.3	-3.6	NA	NA	NA				
AT3G28790	-2.1	-3.1	-4	-6.3	NA	NA				
AT3G28810	-2.4	-3.5	-2.8	-3.6	NA	NA				
AT3G28830	-2.6	NA	-3.9	-4.6	-1.1	NA				
AT3G28857	NA	NA	NA	-3.6	NA	NA				
AT3G28860	NA	-1.2	-2.6	-3.6	NA	NA				
AT3G28880	NA	NA	-3	NA	NA	NA				
AT3G28900	-1.7	-1.9	-1.8	-2.6	NA	NA				
AT3G28915	NA	4	5.3	NA	NA	NA				
AT3G28920	NA	1.2	1.5	2.3	NA	NA				
AT3G28930	NA	NA	NA	-1.4	NA	NA				
AT3G28940	1.2	NA	NA	NA	NA	NA				
AT3G28945	2.8	3.5	3.5	NA	NA	NA				
AT3G28950	1.1	1.3	1.4	NA	NA	NA				
AT3G28956	NA	NA	NA	1.1	NA	NA				
AT3G28960	-2.9	-3.7	-4	-4	NA	NA				
AT3G28970	NA	1.1	1.3	1.1	NA	NA				
AT3G28980	-2.3	-2.8	-3.5	-5.5	NA	NA				
AT3G29010	NA	NA	-1.1	-1.4	NA	NA				
AT3G29030	2.6	2.5	1.6	NA	NA	NA				
AT3G29032	NA	NA	NA	NA	NA	NA	1.1			
AT3G29035	NA	-3.7	-3.9	-4	NA	NA				
AT3G29075	NA	NA	-1.1	NA	NA	2.1	2.6	2		1.2
AT3G29090	NA	NA	1.1	2.5	NA	NA				
AT3G29105	-3.3	-3.5	-3.7	-3.8	NA	NA				
AT3G29110	-3.2	-5.6	-5.9	-5.9	NA	NA				
AT3G29120	NA	NA	NA	NA	NA	NA		1.3		
AT3G29140	NA	1.1	NA	NA	NA	1.6	1.7	1.5		1.2
AT3G29152	-5.3	-5.7	-6	-6	-1.3	NA				
AT3G29170	1.3	1.5	1.6	2.1	NA	NA				
AT3G29185	-1.9	-2.5	-2.5	-3.2	NA	NA				
AT3G29190	NA	4.4	4.4	NA	NA	NA				
AT3G29200	1.3	1.9	NA	NA	NA	NA				
AT3G29230	-2.4	-2.2	-1.8	-1.6	NA	NA				
AT3G29240	-1.2	-3.1	-4.4	-6.5	NA	NA				
AT3G29260	9	10.7	11.8	12.7	1.4	NA				
AT3G29270	1.4	2	2.5	2.9	NA	NA				
AT3G29280	NA	-1.1	NA	-1.3	NA	NA	-1.2	-1.3		
AT3G29300	-3.1	-5.6	-6.9	-8.7	NA	NA				
