Gene ID	'10 day' vs '7 day' in 'wild type' .foldChange	'12 day' vs '7 day' in 'wild type' .foldChange	'13 day' vs '7 day' in 'wild type' .foldChange	'15 day' vs '7 day' in 'wild type' .foldChange	'8 day' vs '7 day' in 'wild type' .foldChange	'val1 mutant' vs 'wild type' at '10 days after pollination' .foldChange	'val1 mutant' vs 'wild type' at '13 days after pollination' .foldChange	'val1 mutant' vs 'wild type' at '15 days after pollination' .foldChange	'val1 mutant' vs 'wild type' at '7 days after pollination' .foldChange	'val1 mutant' vs 'wild type' at '8 days after pollination' .foldChange
AT1G03230	-1.2	-2.8	-3.6	-3.6	NA	NA				
AT1G03260	1.2	1.2	1.2	NA	NA	NA				
AT1G03270	2	2.9	3.1	2.8	NA	NA				
AT1G03290	-3.3	-4.4	-5.1	-9.3	NA	NA				
AT1G03300	NA	NA	NA	NA	NA	NA	-1.3	-1.6		
AT1G03330	-1.3	-1.3	-1.3	NA	NA	NA				
AT1G03360	-2	-2.2	-1.9	-2.2	NA	NA				
AT1G03380	1.1	1.8	2.3	2.8	NA	NA				
AT1G03400	NA	3.2	3.6	3.1	NA	NA	-1.7			
AT1G03420	-1.6	NA	-3.1	-6	NA	NA				
AT1G03440	1.6	1.7	1.6	1.7	NA	NA				
AT1G03445	NA	NA	-3.4	NA	NA	NA				
AT1G03457	NA	NA	NA	-3.2	NA	NA				
AT1G03470	NA	NA	2.5	3.6	NA	NA				
AT1G03475	-1.6	-2.3	-2.2	-1.9	NA	NA				
AT1G03495	1.4	2.6	2.9	2	NA	NA				
AT1G03502	1.9	2.4	2.7	NA	NA	NA				
AT1G03506	2.7	3.1	NA	NA	NA	NA				
AT1G03520	NA	1.4	1.7	1.3	NA	NA				
AT1G03530	-1.4	-1.1	NA	NA	NA	NA				
AT1G03540	1.9	1.8	1.1	NA	NA	NA				
AT1G03550	1.2	1.7	2	2.7	NA	NA				
AT1G03580	2.7	2.5	NA	3.6	NA	NA				
AT1G03590	1.2	1.5	1.5	NA	NA	NA				
AT1G03610	1.4	1.9	2.2	2.3	NA	NA				
AT1G03620	4.3	6.3	7.5	7.9	NA	NA				
AT1G03630	-3.9	-5.4	-4.5	-4.7	NA	NA				
AT1G03650	-2.2	-1.7	NA	NA	NA	NA				
AT1G03660	NA	NA	-4.9	-3	NA	NA				
AT1G03680	NA	-1.5	-1.8	-1.5	NA	NA				
AT1G03687	-1.2	-1.6	-1.4	-1.6	NA	NA				
AT1G03710	-2.3	-3.3	-3.7	-4.1	NA	NA				
AT1G03730	NA	1.8	1.6	NA	NA	NA				
AT1G03740	NA	NA	1.1	NA	NA	NA				
AT1G03750	1.1	1.1	1.4	1.4	NA	NA				
AT1G03760	NA	NA	NA	1.3	NA	NA				
AT1G03770	NA	NA	1.7	2.7	NA	NA				
AT1G03780	-3	-5	-6.4	-7.6	NA	NA				
AT1G03790	6.5	11.9	14	16.4	NA	NA				
AT1G03820	3.1	NA	NA	NA	NA	NA				
AT1G03860	-2.9	-2.8	-2.4	-1.8	NA	NA				
AT1G03870	6.2	10.9	11.2	10	NA	-1.2	-1.6			
AT1G03880	11.1	11.8	11.7	11.9	2.8	NA				
AT1G03890	11.9	12.9	13.1	13.5	1.6	NA				
AT1G03900	-1.3	-2.7	-2.7	-1.9	NA	NA				
AT1G03905	1.4	2	2.5	3.8	NA	NA				
AT1G03920	NA	-2.7	-2.7	-5.7	NA	NA				
AT1G03930	1.6	2.4	2.7	2.9	NA	NA				
AT1G03935	1.8	2.9	3	2.6	NA	NA				
AT1G03950	2.7	3.6	4.1	4.4	NA	NA				
AT1G03970	1.2	1.3	1.3	1.2	NA	NA				
AT1G03980	-2.3	-1.2	-1.6	-1.5	NA	NA				
AT1G03990	2.4	3.3	4.7	7	NA	NA	-1.4			
AT1G04010	NA	NA	1.3	1.9	NA	NA				
AT1G04020	-3.1	-5.7	-7.9	-8.6	NA	NA				
AT1G04030	NA	-1.2	-1.6	-1.9	NA	NA				
AT1G04040	NA	NA	2	4.8	NA	NA	-1.1	-1.5		
AT1G04050	NA	NA	NA	-1.8	NA	NA	-1.3			
AT1G04090	NA	NA	NA	NA	NA	NA	-1.2			
AT1G04100	1.2	1.3	1.5	2.4	NA	NA				
AT1G04110	NA	-1.2	-2.9	-6.8	NA	NA				
AT1G04120	2.9	2.9	2.8	2.5	1.1	NA				
AT1G04130	-1.7	-1.4	NA	NA	NA	NA				
AT1G04150	-2.6	-4.6	-7.3	-9.6	NA	NA				
AT1G04160	NA	NA	NA	-1.2	NA	NA				
AT1G04170	NA	-1.1	NA	NA	NA	NA				
AT1G04180	2.6	NA	NA	NA	1.4	NA				
AT1G04190	NA	NA	NA	-1.2	NA	NA				
AT1G04200	1.1	1.1	NA	NA	NA	NA				
AT1G04220	-3.5	-2.1	-4.1	-7.2	NA	NA		1.6		
AT1G04250	NA	NA	-2.6	-6.7	NA	2.3	4.9	5.9	1.2	1.4
AT1G04260	NA	NA	NA	1.4	NA	NA				
AT1G04270	-1.7	-2	-2	-2.7	NA	NA				
AT1G04300	1.3	1.6	1.8	1.8	NA	NA				
AT1G04310	2.9	3	3.1	3	NA	NA				
AT1G04330	4.7	6	6.2	5.8	NA	NA				
AT1G04340	-1.2	-1.1	NA	-1.1	NA	NA				
AT1G04350	5.6	6.1	5.7	5.8	1.4	NA	1.1	1.4		
AT1G04360	NA	NA	-1.4	-3.1	NA	NA				
AT1G04380	-2	NA	NA	-4.8	NA	NA		1.4		
AT1G04390	NA	1.2	1.4	1.8	NA	NA				
AT1G04410	NA	-1.9	-2.9	-5.2	NA	NA				
AT1G04420	-1.3	-1.8	-1.7	-2.9	NA	NA				
AT1G04425	-2	-3.1	-4.9	-7.7	NA	NA				
AT1G04430	NA	NA	NA	-1.2	NA	NA				
AT1G04470	NA	-5	NA	-4.5	NA	NA				
AT1G04480	-2.3	-2.5	-2.3	-2.6	NA	NA				
AT1G04490	4.7	7	7.9	6.8	NA	NA				
AT1G04510	-1.2	-1.3	NA	NA	NA	NA				
AT1G04520	-2	-2.9	-4	-8.8	NA	NA				
AT1G04550	NA	NA	NA	-1.5	NA	NA				
AT1G04555	1.3	1.8	2.3	3	NA	NA				
AT1G04560	11	12.4	13.1	14.3	1.3	NA				
AT1G04570	1.7	2.4	1.9	1.3	NA	NA				
AT1G04580	1.8	1.7	NA	-2.5	NA	-1.9	-2.4			-1.4
AT1G04600	NA	NA	NA	-2.7	NA	NA				
AT1G04610	NA	-2.8	-4.7	-7.8	NA	NA	1.7			
AT1G04630	NA	-1.3	-1.3	-1.3	NA	NA				
AT1G04635	-1.7	-1.5	NA	NA	NA	NA				
AT1G04640	-1.9	-2.5	-1.8	-1.2	NA	NA				
AT1G04645	-2.8	-7	-7.3	-5.8	NA	NA				
AT1G04650	NA	-1.6	-1.5	-1.2	NA	NA				
AT1G04660	NA	NA	NA	-1.3	NA	NA				
AT1G04680	2	NA	-2.2	-5.9	1.2	NA		1.5		
AT1G04690	NA	NA	NA	-1.4	NA	NA				
AT1G04700	1.1	1.5	1.4	NA	NA	NA				
AT1G04730	-2.3	-4.3	-4.2	-6.4	NA	NA				
AT1G04760	NA	-1.5	-2.4	-5.1	NA	NA				
AT1G04770	1.6	NA	2.1	1.7	1.4	NA				
AT1G04778	4.8	6.3	6.6	6.7	1.7	NA				
AT1G04800	NA	2.3	2.9	4.2	NA	3.9	4.8	2.2		1.4
